,file,speaker,label,file_index,audio_length
1919,1919.wav,Bernie Sanders,bona-fide,1919,4.38
1920,1920.wav,Alec Guinness,bona-fide,1920,11.35
1921,1921.wav,Alec Guinness,bona-fide,1921,0.87
1922,1922.wav,Ronald Reagan,spoof,1922,6.66
1923,1923.wav,Bill Burr,spoof,1923,2.97
1924,1924.wav,Boris Johnson,bona-fide,1924,2.25
1925,1925.wav,2Pac,bona-fide,1925,11.17
1926,1926.wav,Boris Johnson,bona-fide,1926,0.93
1927,1927.wav,Donald Trump,bona-fide,1927,1.65
1928,1928.wav,Christopher Hitchens,spoof,1928,0.88
1929,1929.wav,Barack Obama,bona-fide,1929,5.88
1930,1930.wav,George W. Bush,spoof,1930,4.42
1931,1931.wav,Norm MacDonald,spoof,1931,5.47
1932,1932.wav,Christopher Hitchens,spoof,1932,3.71
1933,1933.wav,Ronald Reagan,spoof,1933,4.05
1934,1934.wav,Bernie Sanders,bona-fide,1934,2.4
1935,1935.wav,FDR,spoof,1935,6.39
1936,1936.wav,Lyndon Johnson,bona-fide,1936,1.6
1937,1937.wav,Ayn Rand,bona-fide,1937,4.63
1938,1938.wav,JFK,bona-fide,1938,2.71
1939,1939.wav,Barack Obama,bona-fide,1939,4.94
1940,1940.wav,Bill Clinton,bona-fide,1940,3.68
1941,1941.wav,Bernie Sanders,spoof,1941,2.05
1942,1942.wav,Bill Clinton,bona-fide,1942,2.1
1943,1943.wav,Winston Churchill,bona-fide,1943,2.21
1944,1944.wav,JFK,spoof,1944,1.94
1945,1945.wav,Bill Clinton,bona-fide,1945,2.27
1946,1946.wav,Ayn Rand,bona-fide,1946,3.59
1947,1947.wav,Alec Guinness,bona-fide,1947,2.58
1948,1948.wav,Christopher Hitchens,bona-fide,1948,7.4
1949,1949.wav,George W. Bush,bona-fide,1949,1.76
1950,1950.wav,Martin Luther King,bona-fide,1950,1.07
1951,1951.wav,The Notorious B.I.G.,spoof,1951,1.04
1952,1952.wav,Ayn Rand,bona-fide,1952,4.95
1953,1953.wav,Barack Obama,bona-fide,1953,0.84
1954,1954.wav,Christopher Hitchens,bona-fide,1954,6.42
1955,1955.wav,Ayn Rand,spoof,1955,7.58
1956,1956.wav,Ronald Reagan,bona-fide,1956,4.87
1957,1957.wav,JFK,spoof,1957,8.74
1958,1958.wav,Bill Clinton,bona-fide,1958,2.22
1959,1959.wav,Malcolm X,bona-fide,1959,18.55
1960,1960.wav,Barack Obama,bona-fide,1960,3.15
1961,1961.wav,Donald Trump,bona-fide,1961,3.19
1962,1962.wav,Ayn Rand,spoof,1962,4.89
1963,1963.wav,Donald Trump,bona-fide,1963,2.07
1964,1964.wav,Christopher Hitchens,bona-fide,1964,1.05
1965,1965.wav,Ayn Rand,spoof,1965,4.28
1966,1966.wav,Barack Obama,bona-fide,1966,2.45
1967,1967.wav,Christopher Hitchens,bona-fide,1967,4.51
1968,1968.wav,Barack Obama,bona-fide,1968,4.62
1969,1969.wav,Jerry Seinfeld,bona-fide,1969,3.06
1970,1970.wav,Ayn Rand,bona-fide,1970,6.78
1971,1971.wav,Bernie Sanders,bona-fide,1971,2.62
1972,1972.wav,Bernie Sanders,bona-fide,1972,0.97
1973,1973.wav,Donald Trump,bona-fide,1973,11.53
1974,1974.wav,Alan Watts,spoof,1974,1.98
1975,1975.wav,Barack Obama,bona-fide,1975,2.56
1976,1976.wav,Barack Obama,bona-fide,1976,3.78
1977,1977.wav,Donald Trump,bona-fide,1977,5.21
1978,1978.wav,Ronald Reagan,bona-fide,1978,1.67
1979,1979.wav,Bill Clinton,bona-fide,1979,3.39
1980,1980.wav,Barack Obama,spoof,1980,7.05
1981,1981.wav,JFK,bona-fide,1981,2.23
1982,1982.wav,Winston Churchill,spoof,1982,3.63
1983,1983.wav,Bernie Sanders,spoof,1983,2.22
1984,1984.wav,Ayn Rand,spoof,1984,1.98
1985,1985.wav,Alec Guinness,spoof,1985,4.02
1986,1986.wav,Bill Clinton,bona-fide,1986,1.21
1987,1987.wav,Ayn Rand,bona-fide,1987,4.23
1988,1988.wav,Bill Clinton,spoof,1988,7.64
1989,1989.wav,Bernie Sanders,spoof,1989,7.17
1990,1990.wav,Bernie Sanders,spoof,1990,11.51
1991,1991.wav,Malcolm X,bona-fide,1991,4.82
1992,1992.wav,Christopher Hitchens,bona-fide,1992,2.93
1993,1993.wav,Ayn Rand,spoof,1993,2.08
1994,1994.wav,Donald Trump,bona-fide,1994,4.86
1995,1995.wav,Donald Trump,bona-fide,1995,2.04
1996,1996.wav,Adam Driver,spoof,1996,6.73
1997,1997.wav,Richard Nixon,bona-fide,1997,5.12
1998,1998.wav,Bill Clinton,bona-fide,1998,1.13
1999,1999.wav,Donald Trump,bona-fide,1999,2.24
2000,2000.wav,Nick Offerman,bona-fide,2000,1.12
2001,2001.wav,Bill Clinton,spoof,2001,5.78
2002,2002.wav,Alan Watts,spoof,2002,1.1
2003,2003.wav,Alec Guinness,spoof,2003,3.15
2004,2004.wav,Queen Elizabeth II,spoof,2004,1.84
2005,2005.wav,The Notorious B.I.G.,spoof,2005,0.9
2006,2006.wav,Alec Guinness,spoof,2006,8.83
2007,2007.wav,Ayn Rand,spoof,2007,2.82
2008,2008.wav,Boris Johnson,bona-fide,2008,2.31
2009,2009.wav,Ayn Rand,bona-fide,2009,5.03
2010,2010.wav,Louis Farrakhan,spoof,2010,1.59
2011,2011.wav,Bill Clinton,bona-fide,2011,2.56
2012,2012.wav,Bernie Sanders,spoof,2012,8.97
2013,2013.wav,Alexandria Ocasio-Cortez,bona-fide,2013,4.46
2014,2014.wav,Donald Trump,bona-fide,2014,1.39
2015,2015.wav,Barack Obama,bona-fide,2015,3.27
2016,2016.wav,Ronald Reagan,spoof,2016,3.47
2017,2017.wav,Bernie Sanders,bona-fide,2017,1.19
2018,2018.wav,Donald Trump,bona-fide,2018,3.71
2019,2019.wav,Martin Luther King,bona-fide,2019,3.96
2020,2020.wav,Donald Trump,bona-fide,2020,1.56
2021,2021.wav,Barack Obama,bona-fide,2021,1.12
2022,2022.wav,Bill Clinton,bona-fide,2022,2.33
2023,2023.wav,Ayn Rand,bona-fide,2023,5.28
2024,2024.wav,Bernie Sanders,bona-fide,2024,12.45
2025,2025.wav,Bernie Sanders,spoof,2025,5.22
2026,2026.wav,Barack Obama,bona-fide,2026,11.91
2027,2027.wav,Bernie Sanders,bona-fide,2027,1.36
2028,2028.wav,Christopher Hitchens,bona-fide,2028,3.59
2029,2029.wav,Calvin Coolidge,bona-fide,2029,3.49
2030,2030.wav,Alec Guinness,spoof,2030,7.7
2031,2031.wav,Norm MacDonald,spoof,2031,10.15
2032,2032.wav,Milton Friedman,bona-fide,2032,5.8
2033,2033.wav,Boris Johnson,bona-fide,2033,2.47
2034,2034.wav,Alexandria Ocasio-Cortez,spoof,2034,10.15
2035,2035.wav,Barack Obama,bona-fide,2035,7.67
2036,2036.wav,Malcolm X,bona-fide,2036,2.34
2037,2037.wav,Dwight Eisenhower,bona-fide,2037,5.25
2038,2038.wav,Arnold Schwarzenegger,bona-fide,2038,1.98
2039,2039.wav,Donald Trump,bona-fide,2039,1.8
2040,2040.wav,Lyndon Johnson,bona-fide,2040,2.47
2041,2041.wav,Donald Trump,bona-fide,2041,4.62
2042,2042.wav,Bill Clinton,bona-fide,2042,2.03
2043,2043.wav,Bernie Sanders,spoof,2043,2.48
2044,2044.wav,Arnold Schwarzenegger,spoof,2044,6.16
2045,2045.wav,Mr. Rogers,spoof,2045,3.59
2046,2046.wav,Martin Luther King,spoof,2046,6.22
2047,2047.wav,Alec Guinness,spoof,2047,1.19
2048,2048.wav,Bernie Sanders,spoof,2048,8.29
2049,2049.wav,Donald Trump,bona-fide,2049,1.83
2050,2050.wav,Alexandria Ocasio-Cortez,bona-fide,2050,3.41
2051,2051.wav,Ronald Reagan,bona-fide,2051,3.66
2052,2052.wav,Martin Luther King,bona-fide,2052,0.91
2053,2053.wav,Winston Churchill,bona-fide,2053,4.06
2054,2054.wav,Bernie Sanders,bona-fide,2054,8.37
2055,2055.wav,Christopher Hitchens,spoof,2055,6.07
2056,2056.wav,2Pac,spoof,2056,8.33
2057,2057.wav,Donald Trump,bona-fide,2057,5.21
2058,2058.wav,Bernie Sanders,bona-fide,2058,4.86
2059,2059.wav,Ronald Reagan,bona-fide,2059,1.97
2060,2060.wav,Bernie Sanders,spoof,2060,2.39
2061,2061.wav,Donald Trump,bona-fide,2061,3.32
2062,2062.wav,Milton Friedman,spoof,2062,3.38
2063,2063.wav,Milton Friedman,bona-fide,2063,3.23
2064,2064.wav,Donald Trump,bona-fide,2064,6.26
2065,2065.wav,Bernie Sanders,spoof,2065,3.37
2066,2066.wav,Christopher Hitchens,spoof,2066,5.79
2067,2067.wav,Nelson Mandela,spoof,2067,2.32
2068,2068.wav,Martin Luther King,bona-fide,2068,0.94
2069,2069.wav,Alec Guinness,bona-fide,2069,2.15
2070,2070.wav,Donald Trump,bona-fide,2070,5.81
2071,2071.wav,Alec Guinness,spoof,2071,3.11
2072,2072.wav,Donald Trump,bona-fide,2072,4.37
2073,2073.wav,Alec Guinness,bona-fide,2073,1.27
2074,2074.wav,Alec Guinness,spoof,2074,4.82
2075,2075.wav,Alexandria Ocasio-Cortez,bona-fide,2075,3.8
2076,2076.wav,Alec Guinness,spoof,2076,6.6
2077,2077.wav,Winston Churchill,bona-fide,2077,2.21
2078,2078.wav,Alec Guinness,spoof,2078,5.81
2079,2079.wav,Ayn Rand,bona-fide,2079,1.41
2080,2080.wav,Lyndon Johnson,bona-fide,2080,2.96
2081,2081.wav,Bill Clinton,spoof,2081,5.41
2082,2082.wav,Barack Obama,bona-fide,2082,1.52
2083,2083.wav,Alec Guinness,spoof,2083,1.49
2084,2084.wav,Bill Clinton,bona-fide,2084,5.2
2085,2085.wav,Donald Trump,bona-fide,2085,5.36
2086,2086.wav,Alec Guinness,bona-fide,2086,3.12
2087,2087.wav,Ayn Rand,spoof,2087,1.25
2088,2088.wav,Queen Elizabeth II,spoof,2088,6.67
2089,2089.wav,Frank Sinatra,spoof,2089,9.56
2090,2090.wav,Boris Johnson,bona-fide,2090,2.76
2091,2091.wav,Alexandria Ocasio-Cortez,bona-fide,2091,7.75
2092,2092.wav,Barack Obama,bona-fide,2092,3.93
2093,2093.wav,Alec Guinness,bona-fide,2093,1.38
2094,2094.wav,Bernie Sanders,bona-fide,2094,3.97
2095,2095.wav,Bernie Sanders,bona-fide,2095,2.75
2096,2096.wav,Christopher Hitchens,spoof,2096,2.0
2097,2097.wav,Donald Trump,spoof,2097,6.94
2098,2098.wav,Richard Nixon,bona-fide,2098,1.5
2099,2099.wav,The Notorious B.I.G.,spoof,2099,2.4
2100,2100.wav,Alan Watts,bona-fide,2100,4.46
2101,2101.wav,Donald Trump,bona-fide,2101,5.31
2102,2102.wav,Donald Trump,bona-fide,2102,3.48
2103,2103.wav,Donald Trump,bona-fide,2103,5.35
2104,2104.wav,Dwight Eisenhower,spoof,2104,4.25
2105,2105.wav,Malcolm X,bona-fide,2105,13.26
2106,2106.wav,Bill Clinton,bona-fide,2106,3.12
2107,2107.wav,Donald Trump,bona-fide,2107,1.76
2108,2108.wav,Ayn Rand,spoof,2108,6.78
2109,2109.wav,JFK,bona-fide,2109,2.14
2110,2110.wav,Barack Obama,bona-fide,2110,3.23
2111,2111.wav,Donald Trump,bona-fide,2111,3.82
2112,2112.wav,Mark Zuckerberg,spoof,2112,1.51
2113,2113.wav,Alexandria Ocasio-Cortez,bona-fide,2113,11.48
2114,2114.wav,Ayn Rand,bona-fide,2114,1.78
2115,2115.wav,Alec Guinness,bona-fide,2115,6.14
2116,2116.wav,The Notorious B.I.G.,spoof,2116,12.64
2117,2117.wav,Boris Johnson,bona-fide,2117,0.93
2118,2118.wav,Alexandria Ocasio-Cortez,spoof,2118,4.37
2119,2119.wav,Ayn Rand,spoof,2119,7.34
2120,2120.wav,The Notorious B.I.G.,spoof,2120,0.76
2121,2121.wav,Barack Obama,bona-fide,2121,2.05
2122,2122.wav,Bernie Sanders,spoof,2122,2.7
2123,2123.wav,Barack Obama,bona-fide,2123,6.76
2124,2124.wav,Christopher Hitchens,bona-fide,2124,3.21
2125,2125.wav,Mark Zuckerberg,bona-fide,2125,5.69
2126,2126.wav,Donald Trump,bona-fide,2126,5.87
2127,2127.wav,Orson Welles,spoof,2127,2.08
2128,2128.wav,Alec Guinness,bona-fide,2128,2.66
2129,2129.wav,JFK,spoof,2129,1.02
2130,2130.wav,Alec Guinness,spoof,2130,5.03
2131,2131.wav,Bernie Sanders,bona-fide,2131,4.44
2132,2132.wav,Bill Clinton,spoof,2132,5.56
2133,2133.wav,Bill Clinton,spoof,2133,2.58
2134,2134.wav,Nelson Mandela,bona-fide,2134,1.59
2135,2135.wav,Donald Trump,bona-fide,2135,2.98
2136,2136.wav,Barack Obama,bona-fide,2136,3.84
2137,2137.wav,Bernie Sanders,spoof,2137,2.37
2138,2138.wav,Ayn Rand,bona-fide,2138,8.7
2139,2139.wav,Alec Guinness,bona-fide,2139,5.19
2140,2140.wav,Mark Zuckerberg,spoof,2140,3.41
2141,2141.wav,Barack Obama,bona-fide,2141,7.1
2142,2142.wav,Alexandria Ocasio-Cortez,bona-fide,2142,3.45
2143,2143.wav,Alec Guinness,spoof,2143,8.54
2144,2144.wav,Bill Clinton,bona-fide,2144,2.4
2145,2145.wav,Boris Johnson,bona-fide,2145,1.49
2146,2146.wav,Alec Guinness,bona-fide,2146,1.63
2147,2147.wav,Donald Trump,bona-fide,2147,2.59
2148,2148.wav,Alec Guinness,bona-fide,2148,3.78
2149,2149.wav,Bernie Sanders,spoof,2149,2.36
2150,2150.wav,Louis Farrakhan,bona-fide,2150,1.75
2151,2151.wav,Norm MacDonald,spoof,2151,1.79
2152,2152.wav,Barack Obama,bona-fide,2152,5.6
2153,2153.wav,Ronald Reagan,bona-fide,2153,5.13
2154,2154.wav,Christopher Hitchens,spoof,2154,2.5
2155,2155.wav,Martin Luther King,bona-fide,2155,5.08
2156,2156.wav,Arnold Schwarzenegger,spoof,2156,5.48
2157,2157.wav,FDR,bona-fide,2157,3.65
2158,2158.wav,Ayn Rand,spoof,2158,4.42
2159,2159.wav,Ayn Rand,bona-fide,2159,3.72
2160,2160.wav,Donald Trump,bona-fide,2160,2.41
2161,2161.wav,Richard Nixon,spoof,2161,12.32
2162,2162.wav,Ayn Rand,bona-fide,2162,1.96
2163,2163.wav,Ronald Reagan,spoof,2163,2.03
2164,2164.wav,Alec Guinness,bona-fide,2164,1.34
2165,2165.wav,Richard Nixon,spoof,2165,3.3
2166,2166.wav,George Carlin,spoof,2166,3.27
2167,2167.wav,Bill Clinton,spoof,2167,2.09
2168,2168.wav,Barack Obama,bona-fide,2168,2.54
2169,2169.wav,Bernie Sanders,bona-fide,2169,2.37
2170,2170.wav,Alec Guinness,spoof,2170,4.08
2171,2171.wav,Christopher Hitchens,spoof,2171,2.82
2172,2172.wav,Bill Clinton,bona-fide,2172,3.38
2173,2173.wav,Donald Trump,bona-fide,2173,1.77
2174,2174.wav,Bernie Sanders,spoof,2174,2.14
2175,2175.wav,Barack Obama,bona-fide,2175,5.8
2176,2176.wav,Donald Trump,bona-fide,2176,1.65
2177,2177.wav,Milton Friedman,spoof,2177,6.78
2178,2178.wav,Donald Trump,bona-fide,2178,4.74
2179,2179.wav,Bill Clinton,bona-fide,2179,1.72
2180,2180.wav,Mark Zuckerberg,spoof,2180,10.75
2181,2181.wav,Bill Clinton,spoof,2181,3.71
2182,2182.wav,Christopher Hitchens,bona-fide,2182,2.56
2183,2183.wav,Alec Guinness,spoof,2183,12.07
2184,2184.wav,Mr. Rogers,spoof,2184,3.99
2185,2185.wav,Bernie Sanders,bona-fide,2185,8.61
2186,2186.wav,Christopher Hitchens,bona-fide,2186,2.0
2187,2187.wav,Bernie Sanders,spoof,2187,1.65
2188,2188.wav,Nick Offerman,bona-fide,2188,1.41
2189,2189.wav,Winston Churchill,spoof,2189,1.93
2190,2190.wav,Bill Clinton,bona-fide,2190,2.06
2191,2191.wav,Barack Obama,spoof,2191,3.67
2192,2192.wav,FDR,spoof,2192,3.06
2193,2193.wav,John Cleese,spoof,2193,2.94
2194,2194.wav,Donald Trump,bona-fide,2194,1.82
2195,2195.wav,JFK,spoof,2195,1.76
2196,2196.wav,The Notorious B.I.G.,spoof,2196,2.11
2197,2197.wav,Calvin Coolidge,bona-fide,2197,2.72
2198,2198.wav,Martin Luther King,bona-fide,2198,0.87
2199,2199.wav,Milton Friedman,spoof,2199,2.86
2200,2200.wav,Barack Obama,bona-fide,2200,3.73
2201,2201.wav,Ayn Rand,bona-fide,2201,2.82
2202,2202.wav,Martin Luther King,spoof,2202,5.3
2203,2203.wav,Bill Clinton,spoof,2203,1.96
2204,2204.wav,Queen Elizabeth II,spoof,2204,4.11
2205,2205.wav,Ayn Rand,spoof,2205,4.16
2206,2206.wav,Alec Guinness,spoof,2206,4.43
2207,2207.wav,Richard Nixon,spoof,2207,1.74
2208,2208.wav,Louis Farrakhan,spoof,2208,11.57
2209,2209.wav,Bill Clinton,bona-fide,2209,4.78
2210,2210.wav,Dwight Eisenhower,bona-fide,2210,6.1
2211,2211.wav,Norm MacDonald,spoof,2211,2.09
2212,2212.wav,Ronald Reagan,bona-fide,2212,2.6
2213,2213.wav,Arnold Schwarzenegger,spoof,2213,2.24
2214,2214.wav,Barack Obama,bona-fide,2214,1.21
2215,2215.wav,The Notorious B.I.G.,spoof,2215,1.43
2216,2216.wav,Donald Trump,bona-fide,2216,1.71
2217,2217.wav,Queen Elizabeth II,spoof,2217,3.13
2218,2218.wav,Bernie Sanders,bona-fide,2218,3.11
2219,2219.wav,Donald Trump,bona-fide,2219,3.02
2220,2220.wav,Barack Obama,bona-fide,2220,3.64
2221,2221.wav,Christopher Hitchens,spoof,2221,8.24
2222,2222.wav,Donald Trump,bona-fide,2222,1.31
2223,2223.wav,Milton Friedman,bona-fide,2223,1.28
2224,2224.wav,Winston Churchill,bona-fide,2224,1.29
2225,2225.wav,Christopher Hitchens,bona-fide,2225,3.86
2226,2226.wav,Alan Watts,spoof,2226,2.26
2227,2227.wav,Ronald Reagan,bona-fide,2227,1.13
2228,2228.wav,Arnold Schwarzenegger,spoof,2228,1.18
2229,2229.wav,Jeff Goldblum,bona-fide,2229,11.16
2230,2230.wav,Barack Obama,bona-fide,2230,7.98
2231,2231.wav,Christopher Hitchens,spoof,2231,5.42
2232,2232.wav,Bill Clinton,bona-fide,2232,2.65
2233,2233.wav,Bernie Sanders,bona-fide,2233,2.22
2234,2234.wav,Donald Trump,bona-fide,2234,3.92
2235,2235.wav,Alan Watts,spoof,2235,12.25
2236,2236.wav,Barack Obama,bona-fide,2236,1.5
2237,2237.wav,Bernie Sanders,spoof,2237,1.51
2238,2238.wav,Ayn Rand,spoof,2238,1.79
2239,2239.wav,Bernie Sanders,bona-fide,2239,3.73
2240,2240.wav,George W. Bush,spoof,2240,4.31
2241,2241.wav,Ronald Reagan,bona-fide,2241,1.6
2242,2242.wav,Donald Trump,bona-fide,2242,5.26
2243,2243.wav,JFK,bona-fide,2243,3.29
2244,2244.wav,Milton Friedman,bona-fide,2244,13.79
2245,2245.wav,Barack Obama,bona-fide,2245,6.02
2246,2246.wav,Alec Guinness,spoof,2246,4.09
2247,2247.wav,Bill Clinton,bona-fide,2247,3.1
2248,2248.wav,Milton Friedman,bona-fide,2248,5.19
2249,2249.wav,Norm MacDonald,spoof,2249,12.94
2250,2250.wav,Donald Trump,bona-fide,2250,3.43
2251,2251.wav,Christopher Hitchens,spoof,2251,5.88
2252,2252.wav,Bernie Sanders,spoof,2252,12.53
2253,2253.wav,Richard Nixon,bona-fide,2253,3.56
2254,2254.wav,Donald Trump,bona-fide,2254,5.25
2255,2255.wav,Milton Friedman,bona-fide,2255,3.47
2256,2256.wav,Barack Obama,bona-fide,2256,5.33
2257,2257.wav,Ronald Reagan,spoof,2257,2.48
2258,2258.wav,Bernie Sanders,spoof,2258,1.48
2259,2259.wav,Alan Watts,spoof,2259,15.3
2260,2260.wav,Martin Luther King,bona-fide,2260,0.85
2261,2261.wav,Adam Driver,bona-fide,2261,2.82
2262,2262.wav,Ayn Rand,spoof,2262,4.22
2263,2263.wav,Alec Guinness,bona-fide,2263,2.8
2264,2264.wav,Bill Clinton,bona-fide,2264,1.72
2265,2265.wav,Bernie Sanders,spoof,2265,1.48
2266,2266.wav,Bernie Sanders,bona-fide,2266,2.86
2267,2267.wav,Bernie Sanders,spoof,2267,4.43
2268,2268.wav,Bill Clinton,bona-fide,2268,1.53
2269,2269.wav,Donald Trump,bona-fide,2269,4.42
2270,2270.wav,The Notorious B.I.G.,spoof,2270,1.2
2271,2271.wav,John Cleese,spoof,2271,21.81
2272,2272.wav,Bernie Sanders,bona-fide,2272,1.02
2273,2273.wav,Alec Guinness,bona-fide,2273,1.62
2274,2274.wav,Mark Zuckerberg,spoof,2274,1.97
2275,2275.wav,Ayn Rand,spoof,2275,6.64
2276,2276.wav,Bernie Sanders,bona-fide,2276,1.92
2277,2277.wav,2Pac,bona-fide,2277,5.51
2278,2278.wav,Alec Guinness,bona-fide,2278,6.32
2279,2279.wav,Mark Zuckerberg,spoof,2279,3.25
2280,2280.wav,Mitch Hedberg,spoof,2280,14.28
2281,2281.wav,Alec Guinness,spoof,2281,4.47
2282,2282.wav,Malcolm X,bona-fide,2282,1.7
2283,2283.wav,Bill Clinton,bona-fide,2283,1.73
2284,2284.wav,Dwight Eisenhower,bona-fide,2284,2.81
2285,2285.wav,JFK,bona-fide,2285,3.54
2286,2286.wav,Martin Luther King,bona-fide,2286,2.38
2287,2287.wav,Christopher Hitchens,bona-fide,2287,8.74
2288,2288.wav,Donald Trump,bona-fide,2288,3.31
2289,2289.wav,Barack Obama,bona-fide,2289,7.54
2290,2290.wav,Barack Obama,spoof,2290,2.14
2291,2291.wav,Norm MacDonald,bona-fide,2291,3.72
2292,2292.wav,Christopher Hitchens,bona-fide,2292,3.9
2293,2293.wav,2Pac,bona-fide,2293,4.64
2294,2294.wav,Donald Trump,bona-fide,2294,1.34
2295,2295.wav,FDR,spoof,2295,1.74
2296,2296.wav,Donald Trump,bona-fide,2296,2.52
2297,2297.wav,Ayn Rand,spoof,2297,2.25
2298,2298.wav,Barack Obama,bona-fide,2298,7.95
2299,2299.wav,Boris Johnson,bona-fide,2299,3.64
2300,2300.wav,Barack Obama,bona-fide,2300,2.2
2301,2301.wav,Alec Guinness,spoof,2301,5.39
2302,2302.wav,Barack Obama,bona-fide,2302,1.49
2303,2303.wav,Nick Offerman,bona-fide,2303,3.82
2304,2304.wav,Donald Trump,bona-fide,2304,2.07
2305,2305.wav,Christopher Hitchens,bona-fide,2305,4.77
2306,2306.wav,Milton Friedman,spoof,2306,21.61
2307,2307.wav,Nelson Mandela,spoof,2307,4.09
2308,2308.wav,Ayn Rand,bona-fide,2308,5.87
2309,2309.wav,Barack Obama,bona-fide,2309,2.07
2310,2310.wav,Christopher Hitchens,bona-fide,2310,7.18
2311,2311.wav,Nick Offerman,bona-fide,2311,2.81
2312,2312.wav,Christopher Hitchens,spoof,2312,2.28
2313,2313.wav,Boris Johnson,bona-fide,2313,1.07
2314,2314.wav,Bernie Sanders,bona-fide,2314,2.41
2315,2315.wav,Alec Guinness,bona-fide,2315,2.36
2316,2316.wav,Donald Trump,bona-fide,2316,2.15
2317,2317.wav,Barack Obama,bona-fide,2317,4.09
2318,2318.wav,Ayn Rand,bona-fide,2318,2.99
2319,2319.wav,Ayn Rand,bona-fide,2319,7.18
2320,2320.wav,Alec Guinness,spoof,2320,5.71
2321,2321.wav,Louis Farrakhan,bona-fide,2321,4.28
2322,2322.wav,Christopher Hitchens,bona-fide,2322,1.23
2323,2323.wav,Louis Farrakhan,bona-fide,2323,3.38
2324,2324.wav,Barack Obama,spoof,2324,5.21
2325,2325.wav,Ronald Reagan,spoof,2325,3.3
2326,2326.wav,Barack Obama,bona-fide,2326,2.54
2327,2327.wav,Donald Trump,spoof,2327,5.04
2328,2328.wav,Barack Obama,bona-fide,2328,8.11
2329,2329.wav,Milton Friedman,spoof,2329,1.81
2330,2330.wav,Adam Driver,spoof,2330,5.8
2331,2331.wav,Alec Guinness,bona-fide,2331,2.07
2332,2332.wav,Barack Obama,bona-fide,2332,2.19
2333,2333.wav,Ronald Reagan,spoof,2333,1.37
2334,2334.wav,Alec Guinness,spoof,2334,7.93
2335,2335.wav,Martin Luther King,bona-fide,2335,2.98
2336,2336.wav,Boris Johnson,bona-fide,2336,1.41
2337,2337.wav,Alec Guinness,bona-fide,2337,1.45
2338,2338.wav,Queen Elizabeth II,spoof,2338,5.45
2339,2339.wav,Nick Offerman,bona-fide,2339,2.66
2340,2340.wav,Donald Trump,bona-fide,2340,3.2
2341,2341.wav,Barack Obama,bona-fide,2341,1.34
2342,2342.wav,JFK,spoof,2342,4.25
2343,2343.wav,Norm MacDonald,bona-fide,2343,16.92
2344,2344.wav,Donald Trump,bona-fide,2344,3.71
2345,2345.wav,Winston Churchill,bona-fide,2345,1.84
2346,2346.wav,Alec Guinness,bona-fide,2346,3.18
2347,2347.wav,Boris Johnson,spoof,2347,5.95
2348,2348.wav,Barack Obama,bona-fide,2348,1.67
2349,2349.wav,Nick Offerman,bona-fide,2349,3.93
2350,2350.wav,Winston Churchill,bona-fide,2350,4.98
2351,2351.wav,George W. Bush,spoof,2351,2.57
2352,2352.wav,Donald Trump,bona-fide,2352,1.86
2353,2353.wav,Alexandria Ocasio-Cortez,spoof,2353,11.22
2354,2354.wav,Dwight Eisenhower,bona-fide,2354,1.85
2355,2355.wav,Donald Trump,bona-fide,2355,1.08
2356,2356.wav,Bill Clinton,spoof,2356,0.93
2357,2357.wav,Bill Clinton,bona-fide,2357,2.42
2358,2358.wav,Alec Guinness,spoof,2358,12.08
2359,2359.wav,Ayn Rand,spoof,2359,2.51
2360,2360.wav,Winston Churchill,bona-fide,2360,1.4
2361,2361.wav,Nick Offerman,bona-fide,2361,9.61
2362,2362.wav,Alec Guinness,bona-fide,2362,1.56
2363,2363.wav,Donald Trump,spoof,2363,3.47
2364,2364.wav,Ayn Rand,bona-fide,2364,1.57
2365,2365.wav,The Notorious B.I.G.,spoof,2365,0.72
2366,2366.wav,Bernie Sanders,spoof,2366,4.16
2367,2367.wav,Louis Farrakhan,bona-fide,2367,3.07
2368,2368.wav,Alexandria Ocasio-Cortez,bona-fide,2368,1.99
2369,2369.wav,Ayn Rand,spoof,2369,9.92
2370,2370.wav,Alec Guinness,spoof,2370,5.29
2371,2371.wav,Bernie Sanders,spoof,2371,5.41
2372,2372.wav,George W. Bush,spoof,2372,1.56
2373,2373.wav,Nelson Mandela,bona-fide,2373,2.88
2374,2374.wav,Arnold Schwarzenegger,spoof,2374,3.44
2375,2375.wav,Martin Luther King,spoof,2375,5.67
2376,2376.wav,Bernie Sanders,bona-fide,2376,6.44
2377,2377.wav,Donald Trump,bona-fide,2377,14.37
2378,2378.wav,Bill Clinton,bona-fide,2378,3.32
2379,2379.wav,Nelson Mandela,spoof,2379,1.92
2380,2380.wav,Kanye West,bona-fide,2380,19.04
2381,2381.wav,FDR,bona-fide,2381,3.02
2382,2382.wav,Ayn Rand,bona-fide,2382,4.0
2383,2383.wav,Alec Guinness,spoof,2383,3.69
2384,2384.wav,Barack Obama,bona-fide,2384,2.73
2385,2385.wav,Christopher Hitchens,spoof,2385,2.19
2386,2386.wav,Donald Trump,bona-fide,2386,1.41
2387,2387.wav,Alexandria Ocasio-Cortez,bona-fide,2387,5.99
2388,2388.wav,John Cleese,bona-fide,2388,4.28
2389,2389.wav,Kamala Harris,bona-fide,2389,2.25
2390,2390.wav,George W. Bush,spoof,2390,5.97
